Session session_1743152165842 Total Time: 84.2080 seconds

Endpoints Called: transcribe_audio, chat, chat, text_to_speech, transcribe_audio, chat, chat, text_to_speech, transcribe_audio, chat, chat, text_to_speech, transcribe_audio, chat, chat, text_to_speech, transcribe_audio, chat, chat, text_to_speech, transcribe_audio, chat, chat, text_to_speech

Phase Breakdown:
  transcribe_audio - start_processing: 0.0011s (elapsed: 0.0011s)
  transcribe_audio - start_file_processing: 0.0005s (elapsed: 0.0016s)
  transcribe_audio - start_ffmpeg_conversion: 0.0031s (elapsed: 0.0047s)
  transcribe_audio - start_speech_api_call: 0.1127s (elapsed: 0.1174s)
  transcribe_audio - speech_api_response_received: 1.6189s (elapsed: 1.7363s)
  transcribe_audio - end_processing: 0.0006s (elapsed: 1.7369s)
  chat - start_processing: 0.0124s (elapsed: 1.7493s)
  chat - start_openai_api_call: 0.0008s (elapsed: 1.7501s)
  chat - openai_response_received: 0.8609s (elapsed: 2.6110s)
  chat - end_processing: 0.0003s (elapsed: 2.6113s)
  chat - start_processing: 0.0073s (elapsed: 2.6186s)
  chat - start_openai_api_call: 0.0005s (elapsed: 2.6192s)
  chat - openai_response_received: 0.7922s (elapsed: 3.4114s)
  chat - end_processing: 0.0003s (elapsed: 3.4116s)
  text_to_speech - start_processing: 0.0074s (elapsed: 3.4191s)
  text_to_speech - start_tts_processing: 1.5063s (elapsed: 4.9254s)
  text_to_speech - tts_complete: 0.0004s (elapsed: 4.9258s)
  text_to_speech - end_processing: 0.0009s (elapsed: 4.9267s)
  transcribe_audio - start_processing: 0.0298s (elapsed: 4.9565s)
  transcribe_audio - start_file_processing: 0.0003s (elapsed: 4.9568s)
  transcribe_audio - start_ffmpeg_conversion: 0.0030s (elapsed: 4.9597s)
  transcribe_audio - start_speech_api_call: 0.1159s (elapsed: 5.0757s)
  transcribe_audio - speech_api_response_received: 1.5240s (elapsed: 6.5996s)
  transcribe_audio - end_processing: 0.0006s (elapsed: 6.6002s)
  chat - start_processing: 0.0069s (elapsed: 6.6071s)
  chat - start_openai_api_call: 0.0006s (elapsed: 6.6076s)
  chat - openai_response_received: 0.7216s (elapsed: 7.3293s)
  chat - end_processing: 0.0003s (elapsed: 7.3295s)
  chat - start_processing: 0.0061s (elapsed: 7.3356s)
  chat - start_openai_api_call: 0.0010s (elapsed: 7.3366s)
  chat - openai_response_received: 0.6816s (elapsed: 8.0182s)
  chat - end_processing: 0.0003s (elapsed: 8.0185s)
  text_to_speech - start_processing: 0.0081s (elapsed: 8.0266s)
  text_to_speech - start_tts_processing: 0.3351s (elapsed: 8.3617s)
  text_to_speech - tts_complete: 0.0005s (elapsed: 8.3622s)
  text_to_speech - end_processing: 0.0007s (elapsed: 8.3630s)
  transcribe_audio - start_processing: 0.0270s (elapsed: 8.3899s)
  transcribe_audio - start_file_processing: 0.0003s (elapsed: 8.3902s)
  transcribe_audio - start_ffmpeg_conversion: 0.0027s (elapsed: 8.3929s)
  transcribe_audio - start_speech_api_call: 0.1088s (elapsed: 8.5017s)
  transcribe_audio - speech_api_response_received: 1.5989s (elapsed: 10.1005s)
  transcribe_audio - end_processing: 0.0005s (elapsed: 10.1011s)
  chat - start_processing: 0.0074s (elapsed: 10.1085s)
  chat - start_openai_api_call: 0.0008s (elapsed: 10.1093s)
  chat - openai_response_received: 0.6784s (elapsed: 10.7877s)
  chat - end_processing: 0.0002s (elapsed: 10.7879s)
  chat - start_processing: 0.0066s (elapsed: 10.7944s)
  chat - start_openai_api_call: 0.0009s (elapsed: 10.7953s)
  chat - openai_response_received: 0.8249s (elapsed: 11.6202s)
  chat - end_processing: 0.0003s (elapsed: 11.6205s)
  text_to_speech - start_processing: 0.0067s (elapsed: 11.6271s)
  text_to_speech - start_tts_processing: 0.3470s (elapsed: 11.9741s)
  text_to_speech - tts_complete: 0.0005s (elapsed: 11.9746s)
  text_to_speech - end_processing: 0.0011s (elapsed: 11.9757s)
  transcribe_audio - start_processing: 0.0338s (elapsed: 12.0095s)
  transcribe_audio - start_file_processing: 0.0003s (elapsed: 12.0098s)
  transcribe_audio - start_ffmpeg_conversion: 0.0038s (elapsed: 12.0136s)
  transcribe_audio - start_speech_api_call: 0.1140s (elapsed: 12.1276s)
  transcribe_audio - speech_api_response_received: 2.3804s (elapsed: 14.5080s)
  transcribe_audio - end_processing: 0.0006s (elapsed: 14.5086s)
  chat - start_processing: 0.0070s (elapsed: 14.5156s)
  chat - start_openai_api_call: 0.0006s (elapsed: 14.5162s)
  chat - openai_response_received: 1.4177s (elapsed: 15.9338s)
  chat - end_processing: 0.0003s (elapsed: 15.9341s)
  chat - start_processing: 0.0057s (elapsed: 15.9398s)
  chat - start_openai_api_call: 0.0009s (elapsed: 15.9407s)
  chat - openai_response_received: 1.7409s (elapsed: 17.6816s)
  chat - end_processing: 0.0003s (elapsed: 17.6819s)
  text_to_speech - start_processing: 0.0065s (elapsed: 17.6884s)
  text_to_speech - start_tts_processing: 2.2022s (elapsed: 19.8907s)
  text_to_speech - tts_complete: 0.0004s (elapsed: 19.8910s)
  text_to_speech - end_processing: 0.0003s (elapsed: 19.8913s)
  transcribe_audio - start_processing: 0.0369s (elapsed: 19.9282s)
  transcribe_audio - start_file_processing: 0.0003s (elapsed: 19.9285s)
  transcribe_audio - start_ffmpeg_conversion: 0.0026s (elapsed: 19.9311s)
  transcribe_audio - start_speech_api_call: 0.1184s (elapsed: 20.0495s)
  transcribe_audio - speech_api_response_received: 2.2611s (elapsed: 22.3107s)
  transcribe_audio - end_processing: 0.0006s (elapsed: 22.3112s)
  chat - start_processing: 0.0090s (elapsed: 22.3202s)
  chat - start_openai_api_call: 0.0009s (elapsed: 22.3211s)
  chat - openai_response_received: 1.5553s (elapsed: 23.8764s)
  chat - end_processing: 0.0007s (elapsed: 23.8771s)
  chat - start_processing: 0.0070s (elapsed: 23.8840s)
  chat - start_openai_api_call: 0.0005s (elapsed: 23.8846s)
  chat - openai_response_received: 1.5338s (elapsed: 25.4184s)
  chat - end_processing: 0.0003s (elapsed: 25.4187s)
  text_to_speech - start_processing: 0.0074s (elapsed: 25.4261s)
  text_to_speech - start_tts_processing: 1.2739s (elapsed: 26.6999s)
  text_to_speech - tts_complete: 0.0005s (elapsed: 26.7004s)
  text_to_speech - end_processing: 0.0004s (elapsed: 26.7008s)
  transcribe_audio - start_processing: 0.0384s (elapsed: 26.7392s)
  transcribe_audio - start_file_processing: 0.0004s (elapsed: 26.7396s)
  transcribe_audio - start_ffmpeg_conversion: 0.0048s (elapsed: 26.7444s)
  transcribe_audio - start_speech_api_call: 0.1329s (elapsed: 26.8773s)
  transcribe_audio - speech_api_response_received: 2.2503s (elapsed: 29.1276s)
  transcribe_audio - end_processing: 0.0006s (elapsed: 29.1282s)
  chat - start_processing: 0.0069s (elapsed: 29.1352s)
  chat - start_openai_api_call: 0.0008s (elapsed: 29.1360s)
  chat - openai_response_received: 1.4931s (elapsed: 30.6291s)
  chat - end_processing: 0.0004s (elapsed: 30.6295s)
  chat - start_processing: 0.0092s (elapsed: 30.6387s)
  chat - start_openai_api_call: 0.0012s (elapsed: 30.6399s)
  chat - openai_response_received: 1.2694s (elapsed: 31.9093s)
  chat - end_processing: 0.0003s (elapsed: 31.9096s)
  text_to_speech - start_processing: 0.0061s (elapsed: 31.9157s)
  text_to_speech - start_tts_processing: 1.1360s (elapsed: 33.0518s)
  text_to_speech - tts_complete: 0.0011s (elapsed: 33.0529s)
  text_to_speech - end_processing: 0.0003s (elapsed: 33.0532s)

Total interaction time: 84.2080s
